,p,d,q,P,D,Q,m,RMSE_train,RMSE_test
0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,62.97571508485419,37.27507548484475
1,1.0,1.0,1.0,1.0,1.0,2.0,12.0,63.13864215907002,46.56386113673684
2,1.0,1.0,1.0,1.0,2.0,1.0,12.0,113.45601714869443,66.67597185423163
3,1.0,1.0,1.0,1.0,2.0,2.0,12.0,113.57684012221993,59.26501721475081
4,1.0,1.0,1.0,2.0,1.0,1.0,12.0,62.12463609768816,50.9735544706925
5,1.0,1.0,1.0,2.0,1.0,2.0,12.0,62.357768946669324,59.54160751211969
6,1.0,1.0,1.0,2.0,2.0,1.0,12.0,113.4660864639025,90.51376766153858
7,1.0,1.0,1.0,2.0,2.0,2.0,12.0,113.4491224013054,90.11896139244095
8,1.0,1.0,2.0,1.0,1.0,1.0,12.0,64.41377662638189,38.85308343490559
9,1.0,1.0,2.0,1.0,1.0,2.0,12.0,64.80638953792884,51.11691173621523
10,1.0,1.0,2.0,1.0,2.0,1.0,12.0,112.21496557351801,63.836078961796304
11,1.0,1.0,2.0,1.0,2.0,2.0,12.0,112.82302985468208,58.823011456649674
12,1.0,1.0,2.0,2.0,1.0,1.0,12.0,112.82302985468208,58.823011456649674
13,1.0,1.0,2.0,2.0,1.0,2.0,12.0,112.82302985468208,58.823011456649674
14,1.0,1.0,2.0,2.0,2.0,1.0,12.0,111.82703375288443,91.73255723827481
15,1.0,1.0,2.0,2.0,2.0,2.0,12.0,111.90028895870483,90.56858339342806
16,1.0,2.0,1.0,1.0,1.0,1.0,12.0,77.05797835570948,72.19456400929501
17,1.0,2.0,1.0,1.0,1.0,2.0,12.0,78.26298396417883,67.37312547816313
18,1.0,2.0,1.0,1.0,2.0,1.0,12.0,131.85764723565114,94.49586409073262
19,1.0,2.0,1.0,1.0,2.0,2.0,12.0,132.72472525928993,149.56354266984778
20,1.0,2.0,1.0,2.0,1.0,1.0,12.0,76.58436134827299,60.07005196854983
21,1.0,2.0,1.0,2.0,1.0,2.0,12.0,76.55046374496942,82.15400864564292
22,1.0,2.0,1.0,2.0,2.0,1.0,12.0,132.51623809485625,120.5539293182088
23,1.0,2.0,1.0,2.0,2.0,2.0,12.0,131.66949146082237,104.67219578954376
24,1.0,2.0,2.0,1.0,1.0,1.0,12.0,76.96806434241219,83.28032573186722
25,1.0,2.0,2.0,1.0,1.0,2.0,12.0,76.92517627449526,84.02437780605523
26,1.0,2.0,2.0,1.0,2.0,1.0,12.0,133.48226975637382,90.1925422996587
27,1.0,2.0,2.0,1.0,2.0,2.0,12.0,133.44217795666555,90.20913484737525
28,1.0,2.0,2.0,2.0,1.0,1.0,12.0,76.98007559840028,63.2374467336641
29,1.0,2.0,2.0,2.0,1.0,2.0,12.0,76.92707910555839,78.27632306120043
30,1.0,2.0,2.0,2.0,2.0,1.0,12.0,133.3670243257259,90.27200900839989
31,1.0,2.0,2.0,2.0,2.0,2.0,12.0,133.0808330934051,86.30742281038084
32,2.0,1.0,1.0,1.0,1.0,1.0,12.0,65.44319683191237,39.993036365085935
33,2.0,1.0,1.0,1.0,1.0,2.0,12.0,65.96322690157272,53.68806953303043
34,2.0,1.0,1.0,1.0,2.0,1.0,12.0,112.01901805855216,67.6865927531925
35,2.0,1.0,1.0,1.0,2.0,2.0,12.0,112.84133115563348,48.604414115768016
36,2.0,1.0,1.0,2.0,1.0,1.0,12.0,64.60683592150116,54.51691318075365
37,2.0,1.0,1.0,2.0,1.0,2.0,12.0,64.871968950215,63.98122909241536
38,2.0,1.0,1.0,2.0,2.0,1.0,12.0,111.69982470173476,90.45942521958162
39,2.0,1.0,1.0,2.0,2.0,2.0,12.0,111.71190846263202,89.07661925373719
40,2.0,1.0,2.0,1.0,1.0,1.0,12.0,67.13843761804635,55.05143591692986
41,2.0,1.0,2.0,1.0,1.0,2.0,12.0,67.07985272902953,71.75005560653467
42,2.0,1.0,2.0,1.0,2.0,1.0,12.0,112.70105801941607,55.56259155160008
43,2.0,1.0,2.0,1.0,2.0,2.0,12.0,112.71240369867029,35.52683896982599
44,2.0,1.0,2.0,2.0,1.0,1.0,12.0,61.96101683757134,50.94769761241688
45,2.0,1.0,2.0,2.0,1.0,2.0,12.0,62.18471027179118,59.04058653280212
46,2.0,1.0,2.0,2.0,2.0,1.0,12.0,112.43350481582,86.94960001429426
47,2.0,1.0,2.0,2.0,2.0,2.0,12.0,111.91590526667119,98.29790186770013
48,2.0,2.0,1.0,1.0,1.0,1.0,12.0,76.84178880543197,64.81111354303954
49,2.0,2.0,1.0,1.0,1.0,2.0,12.0,76.50160614732496,72.92591117864797
50,2.0,2.0,1.0,1.0,2.0,1.0,12.0,131.46882942455812,78.2710412355428
51,2.0,2.0,1.0,1.0,2.0,2.0,12.0,132.64687274187438,139.84978169912804
52,2.0,2.0,1.0,2.0,1.0,1.0,12.0,76.49956914832838,55.51908894729602
53,2.0,2.0,1.0,2.0,1.0,2.0,12.0,76.49980998404435,69.54638497209922
54,2.0,2.0,1.0,2.0,2.0,1.0,12.0,131.15170116588203,81.45376453432661
55,2.0,2.0,1.0,2.0,2.0,2.0,12.0,132.66504061390125,130.21389937709492
56,2.0,2.0,2.0,1.0,1.0,1.0,12.0,77.12382601995746,72.14504391327152
57,2.0,2.0,2.0,1.0,1.0,2.0,12.0,76.56120435541408,81.71086232885382
58,2.0,2.0,2.0,1.0,2.0,1.0,12.0,131.85571693500978,94.4925333673862
59,2.0,2.0,2.0,1.0,2.0,2.0,12.0,132.37552402035078,108.73592158215446
60,2.0,2.0,2.0,2.0,1.0,1.0,12.0,76.58820637659977,59.47947006603809
61,2.0,2.0,2.0,2.0,1.0,2.0,12.0,76.60574010082456,75.55098271834977
62,2.0,2.0,2.0,2.0,2.0,1.0,12.0,132.60916655384975,136.5153721076797
63,2.0,2.0,2.0,2.0,2.0,2.0,12.0,131.77614810552177,98.62115933795265
